Camera #,Station ID,Date Started,Date Captured,Day,Time,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.,Comments
2,CT3N,23/09/2014,02/10/2014,10,1:59,M,Lowland Paca,Cuniculus paca,1,1,Animal appears to be injured
2,CT3N,23/09/2014,03/10/2014,11,0:55,M,Lowland Paca,Cuniculus paca,1,1,Animal appears to be injured
2,CT3N,23/09/2014,19/10/2014,27,3:36,M,Red Brocket deer,Mazama americana,1,1,Animal appears to have a wound on the leg
2,CT3N,23/09/2014,20/10/2014,28,1:35,M,Lowland Paca,Cuniculus paca,1,1,appears to be walking
2,CT3N,23/09/2014,22/10/2014,30,23:03,M,Lowland Paca,Cuniculus paca,1,1,appears to be walking
2,CT3N,23/09/2014,28/10/2014,36,1:48,M,Lowland Paca,Cuniculus paca,1,1,appears to be walking
2,CT3N,23/09/2014,29/10/2014,37,18:45,M,Lowland Paca,Cuniculus paca,1,1,appears to be walking
2,CT3N,23/09/2014,30/10/2014,38,9:47,M,Collared Peccary,Pecari tajacu,1,1,appears to be walking
2,CT3N,23/09/2014,01/11/2014,40,2:08,M,Lowland Paca,Cuniculus paca,1,1,male
2,CT3N,23/09/2014,07/11/2014,46,12:00,M,Collared Peccary,Pecari tajacu,1,1,"Appears to be looking for food,picture was blurred"
2,CT3N,23/09/2014,07/11/2014,46,12:38,M,Collared Peccary,Pecari tajacu,1,1,"Appears to be injured, wound on leg"
2,CT3N,23/09/2014,08/11/2014,47,19:12,M,Lowland Paca,Cuniculus paca,1,1,Female
3,CT2N,24/09/2014,06/10/2014,13,2:29,M,Lowland Paca ,Cuniculus paca,1,1,"The left side of the animal is visible, however the animals head is not in the photograph."
3,CT2N,24/09/2014,06/10/2014,13,10:15,M,Giant Anteater,Myrmecophaga tridactyla,1,1,The animal is turning towards the right and the right anterior portion of the body is visible.
3,CT2N,24/09/2014,15/10/2014,22,11:39,B,Grey-winged trumpeter,Psophia crepitans,1,3,Animals appear to be walking passed the camera.
4,CT3A,20/09/2014,11/10/2014,22,21:38,M,Red Brocket deer,Mazama americana,2,1,Female
4,CT3A,20/09/2014,26/10/2014,37,11:31,M,Ocelot,Leopardus pardalis,1,1,left side
4,CT3A,20/09/2014,30/10/2014,41,7:53,M,Jaguar,Panthera onca,1,1,Left side visible
4,CT3A,20/09/2014,08/11/2014,50,17:36,M,Red Brocket deer,Mazama americana,1,1,Male
07,CT3R,20/09/2014,22/09/2014,3,21:15,M,Ocelot,Leopardus pardalis,1,1,"Right side of body, distinguishable white injury/mark on shoulder area"
07,CT3R,20/09/2014,23/09/2014,4,17:06,M,Jaguar,Panthera onca,1,1,Right side of body
07,CT3R,20/09/2014,04/10/2014,15,18:31,M,Jaguar,Panthera onca,1,1,"Right side of Jaguar, may be one as noted in CDY_0034"
07,CT3R,20/09/2014,16/10/2014,27,0:04,M,Lowland Paca,Cuniculus paca,1,2,Individuals sniffing around
08,CT2R,19/09/2014,20/09/2014,2,8:13,M,Jaguar,Panthera onca,1,1,Left side of Jaguar
08,CT2R,19/09/2014,24/09/2014,6,15:05,M,Jaguar,Panthera onca,1,1,Right side of jaguar 
08,CT2R,19/09/2014,29/09/2014,11,19:16,M,Puma,Puma concolor,3,1,
08,CT2R,19/09/2014,29/09/2014,11,20:22,M,Puma,Puma concolor,1,1,Right side of upper body
08,CT2R,19/09/2014,05/10/2014,17,10:04,M,Jaguar,Panthera onca,1,1,Right side of body
08,CT2R,19/09/2014,06/10/2014,18,10:21,M,Red Brocket deer,Mazama americana,1,1,Right posterior region
08,CT2R,19/09/2014,08/10/2014,20,6:21,M,Jaguar,Panthera onca,1,1,Left side of Jaguar
08,CT2R,19/09/2014,13/10/2014,25,7:54,M,Red Brocket deer,Mazama americana,1,1,Left side of deer
08,CT2R,19/09/2014,14/10/2014,26,10:34,M,Red Brocket deer,Mazama americana,1,1,Left side of deer
08,CT2R,19/09/2014,16/10/2014,28,2:19,M,Red Brocket deer,Mazama americana,1,1,"Left side, bruise on left ankle"
08,CT2R,19/09/2014,17/10/2014,29,7:22,M,Red Brocket deer,Mazama americana,1,1,Left anterior side 
9,CT7R,24/09/2014,27/09/2014,4,4:06,M,Ocelot ,Leopardus pardalis,1,1,"Male, right side of body, white marks on right-front leg"
9,CT7R,24/09/2014,29/09/2014,6,0:36,M,Lowland Paca,Cuniculus paca,1,1,"Right side, bruise on shoulder"
9,CT7R,24/09/2014,05/10/2014,12,2:05,M,Ocelot ,Leopardus pardalis,1,1,"Male, left side of body"
9,CT7R,24/09/2014,06/10/2014,13,7:36,M,Agouti,Dasyprocta leporina,1,1,Right side of body
9,CT7R,24/09/2014,11/10/2014,18,21:08,M,Ocelot ,Leopardus pardalis,1,1,Male- right side of body
9,CT7R,24/09/2014,13/10/2014,20,0:54,M,Ocelot,Leopardus pardalis,1,1,Left side of body
9,CT7R,24/09/2014,22/10/2014,29,8:14,M,Puma,Puma concolor,1,1,Right side of upper body
9,CT7R,24/09/2014,22/10/2014,29,8:24,M,Collared Peccary,Pecari tajacu,1,1,Right side of body
9,CT7R,24/09/2014,25/10/2014,32,1:31,M,Jaguar,Panthera onca,1,1,Left side of body. Injury on shoulder
9,CT7R,24/09/2014,25/10/2014,32,3:16,M,Ocelot ,Leopardus pardalis,1,1,"Male, right side of body, white marks on right-front leg"
9,CT7R,24/09/2014,26/10/2014,33,22:27,M,Tapir,Tapirus terrestris,2,1,Right side of upper body
9,CT7R,24/09/2014,27/10/2014,34,1:39,M,Jaguar,Panthera onca,1,1,Right side of body
9,CT7R,24/09/2014,31/10/2014,38,16:40,M,Collared Peccary,Pecari tajacu,1,1,Left side of body
9,CT7R,24/09/2014,01/11/2014,39,2:52,M,Tapir,Tapirus terrestris,1,1,Right side of body
9,CT7R,24/09/2014,02/11/2014,40,5:15,M,Puma ,Puma concolor,1,1,Right side of body
9,CT7R,24/09/2014,08/11/2014,46,21:01,M,Tapir,Tapirus terrestris,1,1,Left side of body
12,CT4C,21/09/2014,22/09/2014,2,11:43,M,Collared Peccary,Pecari tajacu,5,2,Peccaries observed sniffing around
12,CT4C,21/09/2014,27/09/2014,7,6:32,M,Agouti,Dasyprocta leporina,1,1,Left side of body
12,CT4C,21/09/2014,06/10/2014,16,12:41,M,Agouti,Dasyprocta leporina,1,1,Left side of body
12,CT4C,21/09/2014,07/10/2014,17,21:12,M,Red Brocket deer,Mazama americana,2,1,Right anterior region shown
12,CT4C,21/09/2014,21/10/2014,31,17:48,M,Acouchi,Myoprocta acouchy,1,1,"Female, Left side of body"
12,CT4C,21/09/2014,26/10/2014,36,11:42,M,Collared Peccary,Pecari tajacu,1,1,"Male, righ side of body"
12,CT4C,21/09/2014,01/11/2014,42,0:54,M,Lowland Paca,Cuniculus paca,1,1,Right side of body
12,CT4C,21/09/2014,08/11/2014,49,16:37,M,Collared Peccary,Pecari tajacu,6,3,"Peccaries observed sniffing around, one appears to be giving birth"
12,CT4C,21/09/2014,09/11/2014,50,4:04,M,Collared Peccary,Pecari tajacu,1,1,Head and posterior of peccary 
12,CT4C,21/09/2014,09/11/2014,50,6:02,M,Collared Peccary,Pecari tajacu,1,1,Head region of peccary
13,CT1R,24/09/2014,14/10/2014,21,5:21,M,Agouti,Dasyprocta leporina,1,1,Appears to be walking
13,CT1R,24/09/2014,14/10/2014,21,11:47,M,Agouti,Dasyprocta leporina,1,1,Appears to be running
13,CT1R,24/09/2014,16/10/2014,23,5:01,M,Agouti,Dasyprocta leporina,1,1,Appears to be a female walking 
13,CT1R,24/09/2014,18/10/2014,25,14:43,B,Grey-winged trumpeter,Psophia crepitans,1,4,Appear to just be standing
13,CT1R,24/09/2014,19/10/2014,26,8:37,M,Agouti,Dasyprocta leporina,2,1,Appears to be walking
13,CT1R,24/09/2014,21/10/2014,28,5:12,M,Agouti,Dasyprocta leporina,1,1,Appears to be an injured female walking 
13,CT1R,24/09/2014,24/10/2014,31,17:23,M,Agouti,Dasyprocta leporina,1,1,Appears to be injured at the mouth and walking 
13,CT1R,24/09/2014,28/10/2014,35,17:56,M,Acouchi,Myoprocta acouchy,1,1,Appears to be injured at the mouth and walking 
13,CT1R,24/09/2014,31/10/2014,38,7:03,M,Agouti,Dasyprocta leporina,1,1,Appears to be standing and looking into the camera
14,CT5Z,22/09/2014,22/09/2014,1,21:18,M,Lowland Paca,Cuniculus paca,1,1,"Left side, sniffing around"
14,CT5Z,22/09/2014,18/10/2014,27,12:17,M,Ocelot ,Leopardus pardalis,1,1,"Right side of body, Maybe margay"
14,CT5Z,22/09/2014,23/10/2014,32,8:03,M,Collared Peccary,Pecari tajacu,4,1,"Female, sniffing around"
14,CT5Z,22/09/2014,03/11/2014,43,11:34,B,Black Curassow,Crax alector,1,1,Left side of body
15,CT5B,22/09/2014,02/10/2014,11,17:52,M,Red Brocket deer,Mazama americana,2,1,What appears to be the rump of an animal can be seen in the photograph.
19,CT2C,19/09/2014,21/09/2014,3,15:46,B,Grey-winged trumpeter,Psophia crepitans,1,4,Appear to lingering around the camera
19,CT2C,19/09/2014,25/09/2014,7,17:33,M,Agouti,Dasyprocta leporina,3,1,Appears to be a male carrying an object in its mouth
19,CT2C,19/09/2014,27/09/2014,9,7:25,M,Agouti,Dasyprocta leporina,1,1,Appears to be  carrying an object in its mouth
19,CT2C,19/09/2014,27/09/2014,9,8:02,M,Agouti,Dasyprocta leporina,2,1,Appears to be  foraging 
19,CT2C,19/09/2014,27/09/2014,9,8:38,M,Agouti,Dasyprocta leporina,6,1,Appears to walking
19,CT2C,19/09/2014,27/09/2014,9,9:19,M,Agouti,Dasyprocta leporina,4,1,"Appears to be  foraging,carring object in its mouth"
19,CT2C,19/09/2014,27/09/2014,9,12:43,M,Ocelot,Leopardus pardalis,1,1,left side. Cute photograph
19,CT2C,19/09/2014,27/09/2014,9,16:53,M,Agouti,Dasyprocta leporina,6,1,"Appears to running, injured and carrying object in its mouth"
19,CT2C,19/09/2014,28/09/2014,10,6:11,M,Agouti,Dasyprocta leporina,3,1,Appears to be an injured female  carrying an object in ts mouth
19,CT2C,19/09/2014,28/09/2014,10,15:44,M,Agouti,Dasyprocta leporina,5,2,"Appears to walking,male,scar on the left jaw"
19,CT2C,19/09/2014,28/09/2014,10,16:33,M,Agouti,Dasyprocta leporina,2,1,Appears to be foraging
19,CT2C,19/09/2014,29/09/2014,11,8:38,M,Agouti,Dasyprocta leporina,1,1,Appears to be  carrying an object in its mouth
19,CT2C,19/09/2014,03/10/2014,15,4:38,M,Red Brocket Deer,Mazama americana,1,1,Appears to just be standing
19,CT2C,19/09/2014,03/10/2014,15,16:31,B,Grey-winged trumpeter,Psophia crepitans,1,1,Appears to just be standing
19,CT2C,19/09/2014,05/10/2014,17,14:14,M,Collared Peccary,Pecari tajacu,2,2,Appear to just be standing
19,CT2C,19/09/2014,06/10/2014,18,9:36,M,Agouti,Dasyprocta leporina,1,1,Appears to be foraging
19,CT2C,19/09/2014,07/10/2014,19,8:57,B,Grey-winged trumpeter,Psophia crepitans,1,1,Appears to just be standing
19,CT2C,19/09/2014,07/10/2014,19,13:56,B,Grey-winged trumpeter,Psophia crepitans,2,2,Appears to just be standing
19,CT2C,19/09/2014,07/10/2014,19,14:43,B,Grey-winged trumpeter,Psophia crepitans,2,2,Appears to just be standing and eating
19,CT2C,19/09/2014,10/10/2014,22,5:14,M,Collared Peccary,Pecari tajacu,2,3,Appears to running
19,CT2C,19/09/2014,12/10/2014,24,17:26,M,Jaguarundi,Herpailurus yagouaroundi,2,1,"left side, male"
19,CT2C,19/09/2014,14/10/2014,26,8:50,B,Grey-winged trumpeter,Psophia crepitans,1,1,Appears to just be standing
19,CT2C,19/09/2014,18/10/2014,30,14:09,M,Agouti,Dasyprocta leporina,1,1,Appears to be foraging
19,CT2C,19/09/2014,21/10/2014,33,3:25,M,Armadillo,Dasypus sp.,1,1,Appears to running
19,CT2C,19/09/2014,25/10/2014,37,14:25,M,Agouti,Dasyprocta leporina,1,1,Appears to be foraging
19,CT2C,19/09/2014,27/10/2014,39,12:41,B,Grey-winged trumpeter,Psophia crepitans,1,1,Appears to just be standing
19,CT2C,19/09/2014,29/10/2014,41,23:03,M,Lowland Paca,Cuniculus paca,1,1,Appears to just be standing
21,CT4R,21/09/2014,21/09/2014,1,22:33,M,Puma,Puma concolor,1,1,"Appears to be walking, Male with a healthy appearance,left side captured"
21,CT4R,21/09/2014,21/09/2014,1,22:43,M,Ocelot,Leopardus pardalis,1,1,"Appears to be walking, healthy appearance,left side captured"
21,CT4R,21/09/2014,04/10/2014,14,16:16,M,Jaguar,Panthera onca,1,1,"Right side visible, sex cannot be determined"
21,CT4R,21/09/2014,09/10/2014,19,10:53,M,Jaguar,Panthera onca,1,1,"Left side visible, sex not determined"
21,CT4R,21/09/2014,11/10/2014,21,4:51,M,Puma,Puma concolor,1,1,"Left side, only rear end visible, apppears to be walking"
21,CT4R,21/09/2014,22/10/2014,32,21:31,M,Puma,Puma concolor,1,1,"Appears to be walking, female, left side, appears to be healthy"
21,CT4R,21/09/2014,23/10/2014,33,5:22,M,Puma,Puma concolor,1,1,"Appears to be walking, female, right side, appears to be healthy"
21,CT4R,21/09/2014,29/10/2014,39,9:02,M,Red Brocket Deer,Mazama americana,1,1,Appears to be walking
21,CT4R,21/09/2014,29/10/2014,39,19:07,M,Puma,Puma concolor,1,1,"Appears to be walking, right side, appears to be healthy"
24,CT5R,23/09/2014,16/10/2014,24,16:56,M,Jaguar,Panthera onca,1,1,Left side of the animal 
24,CT5R,23/09/2014,22/10/2014,30,23:17,M,Puma,Puma concolor,1,1,The left side of the animal is completely visible. Animal appears slightly malnourished
32,CT3C,20/09/2014,23/09/2014,4,9:22,B,Grey-winged trumpeter,Psophia crepitans,1,5,"In one instance, there is either an individual opening one of its wings. "
32,CT3C,20/09/2014,28/09/2014,9,11:06,M,Red Brocket Deer,Mazama americana,1,1,Single individual walking passed and looking at the camera.
32,CT3C,20/09/2014,06/10/2014,17,7:49,M,Jaguar,Panthera onca,1,1,
32,CT3C,20/09/2014,13/10/2014,24,4:18,M,Red Brocket Deer,Mazama americana,1,1,Animal appears to be foraging while passing the camera.
32,CT3C,20/09/2014,14/10/2014,25,15:02,M,Agouti,Dasyprocta leporina,1,1,"Possibly a male animal, the animals back it toward the camera."
32,CT3C,20/09/2014,19/10/2014,30,0:50,B,Grey-winged trumpeter,Psophia crepitans,1,2,The birds appear to be heading toward the area behind the camera
32,CT3C,20/09/2014,26/10/2014,37,2:44,M,Lowland Paca,Cuniculus paca,2,1,The rump of the animal apears to have a number a ticks.
32,CT3C,20/09/2014,27/10/2014,38,13:36,B,Grey-winged trumpeter,Psophia crepitans,2,4,
32,CT3C,20/09/2014,27/10/2014,38,14:56,M,Collared Peccary,Pecari tajacu,3,1,A collared peccary appears to be cicrling the palm in the center of the photograph.
32,CT3C,20/09/2014,11/11/2014,53,0:31,M,Tapir,Tapirus terrestris,1,1,
34,CT5O,23/09/2014,13/10/2014,21,17:53,M,Red Brocket deer,Mazama americana,1,1,"Right side, bruises on neck, left ankle"
34,CT5O,23/09/2014,27/10/2014,35,2:42,M,Red Brocket deer,Mazama americana,1,1,"Right side, same as CDY_0003"
34,CT5O,23/09/2014,28/10/2014,36,6:34,M,Grey Brocket deer,Mazama nemorivaga,1,1,"Left side, lower body"
34,CT5O,23/09/2014,03/11/2014,42,6:16,M,Collared Peccary,Pecari tajacu,1,1,Left side of body
37,CT1E,18/09/2014,29/09/2014,12,13:46,B,Grey-winged trumpeter,Psophia crepitans,2,2,Appears to be flocking around the camera
37,CT1E,18/09/2014,15/10/2014,28,12:49,B,Black Curassow,Crax alector,3,1,Just standing in front of the camera
39,CT1B,18/09/2014,21/09/2014,4,12:11,M,Agouti,Dasyprocta leporina,1,1,Appears to be running
39,CT1B,18/09/2014,27/09/2014,10,18:32,M,Lowland Paca,Cuniculus paca,1,1,Appears to be running
39,CT1B,18/09/2014,01/10/2014,14,17:06,M,Agouti,Dasyprocta leporina,1,1,"Appears to be running,scar on left side face"
39,CT1B,18/09/2014,02/10/2014,15,2:55,M,Lowland Paca,Cuniculus paca,1,1,Appears to be walking
39,CT1B,18/09/2014,05/10/2014,18,8:09,M,Collared Peccary,Pecari tajacu,1,1,Appears to be walking
